"COMPUTERNAME","OUPATH","ADDEDBY","DATEADDED","SUCCESSFUL","ERRORS"
"LIBR-0105-GA3","OU=LabAssist,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","3/10/2021 1:44:41 PM","True",""
"GLAS-0233-FT3","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/10/2021 2:15:01 PM","True",
"FOR A-0250-001","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:17 PM","True",""
"FOR A-0250-002","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:18 PM","True",""
"FOR A-0250-003","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:19 PM","True",""
"FOR A-0250-004","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:20 PM","True",""
"FOR A-0250-005","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:21 PM","True",""
"FOR A-0250-006","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:22 PM","True",""
"FOR A-0250-007","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:23 PM","True",""
"FOR A-0250-008","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:24 PM","True",""
"FOR A-0250-009","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:25 PM","True",""
"FOR A-0250-010","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:26 PM","True",""
"FOR A-0250-011","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:27 PM","True",""
"FOR A-0250-012","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:28 PM","True",""
"FOR A-0250-013","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:29 PM","True",""
"FOR A-0250-014","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:30 PM","True",""
"FOR A-0250-015","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:19:31 PM","True",""
